evaluations raw_y
317 -168.0000000000
357 -134.0000000000
552 -128.0000000000
639 -81.0000000000
817 -61.0000000000
978 -54.0000000000
1214 -48.0000000000
1226 -41.0000000000
1363 -28.0000000000
1546 -23.0000000000
1837 -22.0000000000
1907 -15.0000000000
3005 -10.0000000000
3190 -9.0000000000
3616 2.0000000000
4208 3.0000000000
4952 4.0000000000
5000 -68.0000000000
evaluations raw_y
1 -403.0000000000
3 -323.0000000000
4 -301.0000000000
19 -248.0000000000
121 -221.0000000000
143 -215.0000000000
166 -207.0000000000
235 -200.0000000000
308 -174.0000000000
515 -121.0000000000
701 -120.0000000000
801 -87.0000000000
903 -67.0000000000
1303 -61.0000000000
1449 -42.0000000000
1872 -34.0000000000
2011 -28.0000000000
2148 -21.0000000000
3233 -15.0000000000
3883 -4.0000000000
4139 -3.0000000000
4142 4.0000000000
5000 -55.0000000000
evaluations raw_y
1 -423.0000000000
5 -262.0000000000
42 -221.0000000000
242 -181.0000000000
363 -174.0000000000
391 -161.0000000000
453 -154.0000000000
514 -128.0000000000
617 -114.0000000000
632 -88.0000000000
751 -82.0000000000
809 -69.0000000000
976 -68.0000000000
1052 -61.0000000000
1182 -48.0000000000
1232 -28.0000000000
1654 -22.0000000000
2799 -16.0000000000
3243 -15.0000000000
3325 -9.0000000000
3396 -3.0000000000
4566 3.0000000000
5000 -27.0000000000
evaluations raw_y
1 -315.0000000000
8 -248.0000000000
19 -242.0000000000
157 -228.0000000000
205 -221.0000000000
223 -155.0000000000
350 -148.0000000000
462 -115.0000000000
502 -107.0000000000
566 -100.0000000000
629 -95.0000000000
637 -88.0000000000
836 -55.0000000000
1101 -48.0000000000
1287 -42.0000000000
1328 -41.0000000000
1413 -14.0000000000
2090 -10.0000000000
3182 -8.0000000000
3293 -2.0000000000
3438 -1.0000000000
4540 6.0000000000
5000 -28.0000000000
evaluations raw_y
1 -517.0000000000
2 -423.0000000000
3 -376.0000000000
9 -369.0000000000
12 -315.0000000000
16 -268.0000000000
59 -256.0000000000
107 -234.0000000000
120 -201.0000000000
484 -181.0000000000
531 -161.0000000000
609 -147.0000000000
619 -114.0000000000
791 -101.0000000000
956 -68.0000000000
1192 -55.0000000000
1392 -43.0000000000
1436 -36.0000000000
1609 -29.0000000000
1660 -16.0000000000
1925 -15.0000000000
2058 -14.0000000000
2139 -9.0000000000
3122 -8.0000000000
3667 -2.0000000000
3756 2.0000000000
4415 3.0000000000
